City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Clyde River,CA,2021-10-22 06:45:20,70.4692,-68.5914,19.53,78,74,5.35
68,Sao Joao Da Barra,BR,2021-10-22 06:42:14,-21.6403,-41.0511,64.42,83,49,4.38
69,Norman Wells,CA,2021-10-22 06:45:21,65.282,-126.8329,35.64,75,40,6.91
70,Port Alfred,ZA,2021-10-22 06:45:21,-33.5906,26.891,70.99,64,100,9.82
71,Tura,IN,2021-10-22 06:45:22,25.5198,90.2201,79.83,46,5,3.33
72,Lompoc,US,2021-10-22 06:41:13,34.6391,-120.4579,61.12,90,90,4.61
73,Qaanaaq,GL,2021-10-22 06:45:23,77.484,-69.3632,-1.91,75,0,8.77
74,Avesta,SE,2021-10-22 06:45:23,60.1455,16.1679,37.4,67,10,11.7
75,Gornopravdinsk,RU,2021-10-22 06:41:20,60.05,69.9,34.0,70,100,8.46
76,Katherine,AU,2021-10-22 06:45:24,-14.4667,132.2667,98.92,32,13,10.36
77,Tuatapere,NZ,2021-10-22 06:45:24,-46.1333,167.6833,52.02,78,29,2.95
78,Pandan,PH,2021-10-22 06:45:25,14.0453,124.1694,82.4,82,100,11.23
79,Kahului,US,2021-10-22 06:45:25,20.8947,-156.47,76.84,81,1,6.91
80,Erdenet,MN,2021-10-22 06:45:25,49.0333,104.0833,43.54,30,37,3.83
81,Qeshm,IR,2021-10-22 06:45:26,26.9581,56.2719,93.07,53,0,1.81
82,Mahebourg,MU,2021-10-22 06:45:26,-20.4081,57.7,80.89,69,75,16.11
83,Busselton,AU,2021-10-22 06:45:31,-33.65,115.3333,70.05,49,2,12.03
84,Luderitz,NA,2021-10-22 06:45:31,-26.6481,15.1594,61.41,69,7,11.1
85,Tuy Hoa,VN,2021-10-22 06:45:31,13.0833,109.3,82.94,76,67,11.9
86,Cherskiy,RU,2021-10-22 06:45:32,68.75,161.3,2.53,99,99,5.46
87,Atar,MR,2021-10-22 06:45:33,20.5169,-13.0499,71.73,18,100,7.49
88,Narsaq,GL,2021-10-22 06:45:33,60.9167,-46.05,32.22,62,100,4.79
89,Solvychegodsk,RU,2021-10-22 06:45:34,61.3305,46.9156,47.59,95,100,12.15
90,Atuona,PF,2021-10-22 06:43:31,-9.8,-139.0333,78.28,77,51,19.86
91,Kaitangata,NZ,2021-10-22 06:45:34,-46.2817,169.8464,50.83,87,33,7.56
92,Agirish,RU,2021-10-22 06:45:35,61.9247,63.0231,31.87,80,99,9.53
93,Tual,ID,2021-10-22 06:45:35,-5.6667,132.75,83.79,69,86,6.71
94,Khandyga,RU,2021-10-22 06:45:36,62.6667,135.6,25.03,93,100,9.33
95,Kodiak,US,2021-10-22 06:43:59,57.79,-152.4072,37.54,69,100,12.3
96,Plettenberg Bay,ZA,2021-10-22 06:45:36,-34.0527,23.3716,59.67,96,100,9.46
97,Cape Town,ZA,2021-10-22 06:43:35,-33.9258,18.4232,65.08,67,40,5.01
98,Svetlogorsk,BY,2021-10-22 06:45:37,52.6333,29.7333,51.94,62,91,18.41
99,Odienne,CI,2021-10-22 06:45:37,9.51,-7.5692,71.65,95,25,0.18
100,Bluff,NZ,2021-10-22 06:45:38,-46.6,168.3333,52.45,80,83,8.37
101,Malakal,SS,2021-10-22 06:45:38,9.5334,31.6605,86.9,56,100,2.21
102,Isangel,VU,2021-10-22 06:45:39,-19.55,169.2667,82.51,69,75,0.0
103,Baoro,CF,2021-10-22 06:45:39,5.6667,15.9667,72.82,89,97,4.7
104,Walvis Bay,NA,2021-10-22 06:45:40,-22.9575,14.5053,57.09,76,0,4.61
105,Hithadhoo,MV,2021-10-22 06:45:40,-0.6,73.0833,82.33,72,100,8.63
106,Camacha,PT,2021-10-22 06:45:41,33.0833,-16.3333,66.52,88,40,8.05
107,Broken Hill,AU,2021-10-22 06:45:41,-31.95,141.4333,89.31,17,0,4.61
108,Nome,US,2021-10-22 06:44:24,64.5011,-165.4064,31.15,86,90,14.97
109,Berlevag,NO,2021-10-22 06:45:42,70.8578,29.0864,33.75,60,75,19.57
110,Straumen,NO,2021-10-22 06:45:42,63.8709,11.2999,40.62,85,100,6.35
111,Kapaa,US,2021-10-22 06:45:43,22.0752,-159.319,76.98,87,1,14.97
112,Moose Factory,CA,2021-10-22 06:45:44,51.2585,-80.6094,32.0,93,90,9.22
113,Ust-Tsilma,RU,2021-10-22 06:45:44,65.441,52.1498,31.59,94,99,5.64
114,Constitucion,CL,2021-10-22 06:45:45,-35.3333,-72.4167,49.51,82,0,9.1
115,Carupano,VE,2021-10-22 06:45:45,10.6678,-63.2585,76.08,90,45,7.34
116,Manokwari,ID,2021-10-22 06:45:46,-0.8667,134.0833,80.96,79,100,9.95
117,Tapes,BR,2021-10-22 06:43:33,-30.6733,-51.3958,58.87,92,10,4.92
118,Kavaratti,IN,2021-10-22 06:45:46,10.5669,72.642,82.27,76,49,3.69
119,Ahuimanu,US,2021-10-22 06:45:47,21.4447,-157.8378,76.75,77,90,8.05
120,Port Keats,AU,2021-10-22 06:45:47,-14.25,129.55,90.5,58,9,13.09
121,Axim,GH,2021-10-22 06:45:48,4.8699,-2.2405,78.8,83,100,5.06
122,Dzerzhinsk,RU,2021-10-22 06:45:48,56.2389,43.4631,53.42,71,40,13.42
123,Leh,IN,2021-10-22 06:41:55,34.1667,77.5833,45.48,27,84,7.96
124,Pitimbu,BR,2021-10-22 06:45:49,-7.4706,-34.8086,77.59,82,100,9.19
125,Coahuayana,MX,2021-10-22 06:45:49,18.7333,-103.6833,77.92,91,99,2.73
126,Klyuchi,RU,2021-10-22 06:45:50,52.2667,79.1667,43.18,45,100,19.93
127,Port Lincoln,AU,2021-10-22 06:45:50,-34.7333,135.8667,61.16,65,17,15.1
128,Lagoa,PT,2021-10-22 06:45:51,39.05,-27.9833,67.15,72,99,5.91
129,Sardarshahr,IN,2021-10-22 06:45:51,28.4333,74.4833,89.35,23,0,18.61
130,Alihe,CN,2021-10-22 06:45:52,50.5667,123.7167,46.8,55,7,5.75
131,Sambava,MG,2021-10-22 06:45:52,-14.2667,50.1667,81.23,65,96,8.19
132,Chimbote,PE,2021-10-22 06:45:53,-9.0853,-78.5783,62.31,90,98,6.67
