City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
179,Saint-Georges,GD,12.0564,-61.7485,80.28,83,40,8.05,scattered clouds
180,Geraldton,AU,-28.7667,114.6,68.41,45,90,12.66,overcast clouds
181,Leningradskiy,RU,69.3833,178.4167,10.11,92,100,19.1,light snow
182,Isla Mujeres,MX,21.2311,-86.731,84.16,78,11,14.47,few clouds
183,Helong,CN,42.5397,128.9972,52.21,31,0,8.08,clear sky
184,Labuhan,ID,-6.8844,112.2051,87.94,63,99,7.47,light rain
185,Baikunthpur,IN,23.25,82.55,74.12,49,0,5.91,clear sky
186,Honiara,SB,-9.4333,159.95,85.23,71,35,4.36,scattered clouds
187,Marzuq,YE,14.4,46.4667,70.97,32,2,1.86,clear sky
188,Lavrentiya,RU,65.5833,-171.0,14.23,73,97,8.01,overcast clouds
189,Popondetta,PG,-8.7537,148.2534,90.09,53,45,8.21,scattered clouds
190,Grindavik,IS,63.8424,-22.4338,37.87,87,0,10.36,clear sky
191,Beloha,MG,-25.1667,45.05,66.45,63,86,17.36,overcast clouds
192,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,0,13.8,clear sky
193,Harper,LR,4.375,-7.7169,76.68,89,82,4.61,broken clouds
194,Guasdualito,VE,7.2424,-70.7324,71.49,98,96,0.89,overcast clouds
195,Astoria,US,46.1879,-123.8313,52.02,94,90,1.99,mist
196,Beachwood,US,41.4645,-81.5087,52.36,94,1,3.44,clear sky
197,Hollins,US,37.3413,-79.9431,54.09,90,1,4.61,clear sky
198,Nador,MA,35.174,-2.9287,64.65,77,40,6.91,scattered clouds
199,Port Lincoln,AU,-34.7333,135.8667,64.17,81,52,8.25,light rain
200,Roald,NO,62.5833,6.1333,55.33,93,90,6.91,overcast clouds
201,Alamos,MX,27.0167,-108.9333,71.71,45,0,1.68,clear sky
202,Pangkalanbuun,ID,-2.6833,111.6167,90.54,58,98,1.41,light rain
203,Ukiah,US,39.1502,-123.2078,62.87,90,1,0.0,clear sky
204,Te Anau,NZ,-45.4167,167.7167,65.66,60,24,3.76,few clouds
205,Anadyr,RU,64.75,177.4833,-5.01,83,0,8.95,clear sky
206,La Cruz,MX,23.9167,-106.9,76.46,87,1,1.01,clear sky
207,Wuwei,CN,37.9281,102.6414,53.28,23,2,2.66,clear sky
208,Kuching,MY,1.55,110.3333,75.42,100,40,5.75,heavy intensity rain
209,Zaraza,VE,9.3503,-65.3245,71.13,99,100,2.48,overcast clouds
210,Licheng,CN,23.2955,113.8284,80.53,60,99,4.76,overcast clouds
211,Atuona,PF,-9.8,-139.0333,78.03,70,0,15.68,clear sky
212,Sao Filipe,CV,14.8961,-24.4956,78.91,77,100,7.83,overcast clouds
213,Mount Isa,AU,-20.7333,139.5,98.37,26,75,16.11,broken clouds
214,Husavik,IS,66.0449,-17.3389,31.91,95,100,4.36,overcast clouds
215,Caraguatatuba,BR,-23.6338,-45.4899,74.39,99,100,1.79,moderate rain
216,Ramgarh,IN,23.6333,85.5167,75.25,52,3,6.38,clear sky
217,Itaituba,BR,-4.2761,-55.9836,77.16,94,20,0.0,few clouds
218,Cabo San Lucas,MX,22.8909,-109.9124,79.52,74,15,2.77,few clouds
219,Faanui,PF,-16.4833,-151.75,81.16,73,56,8.1,light rain
220,Kodiak,US,57.79,-152.4072,38.32,91,94,10.6,moderate rain
221,Mindelo,CV,16.8901,-24.9804,76.55,78,75,23.02,broken clouds
222,Lompoc,US,34.6391,-120.4579,71.49,58,1,9.22,clear sky
223,Thinadhoo,MV,0.5333,72.9333,82.13,75,42,12.1,scattered clouds
224,Saint-Francois,FR,46.4154,3.9054,39.67,99,40,2.3,scattered clouds
225,Bengkulu,ID,-3.8004,102.2655,85.06,61,99,1.23,overcast clouds
226,Milkovo,RU,54.7167,158.6167,35.01,85,90,1.9,overcast clouds
227,Severo-Kurilsk,RU,50.6789,156.125,44.02,87,57,9.53,broken clouds
228,Maragogi,BR,-9.0122,-35.2225,75.29,80,4,6.26,clear sky
229,Tezu,IN,27.9167,96.1667,80.89,37,5,3.06,clear sky
230,Canico,PT,32.6333,-16.85,68.72,76,20,4.61,few clouds
231,Makurdi,NG,7.7411,8.5121,73.99,96,59,4.05,broken clouds
232,Coquimbo,CL,-29.9533,-71.3436,53.33,93,0,6.91,clear sky
233,Hambantota,LK,6.1241,81.1185,80.94,94,20,5.75,light rain
234,Saint-Augustin,CA,51.226,-58.6502,36.86,82,6,4.5,clear sky
235,Xuddur,SO,4.1213,43.8894,73.29,81,0,10.65,clear sky
236,Nizhniy Tsasuchey,RU,50.5167,115.1333,49.32,36,12,2.37,few clouds
237,Touros,BR,-5.1989,-35.4608,76.1,77,6,14.47,clear sky
238,Toora-Khem,RU,52.4675,96.11,37.6,47,100,4.68,overcast clouds
239,Shubarshi,KZ,48.5872,57.1869,31.75,50,29,6.15,scattered clouds
240,Great Falls,US,47.5002,-111.3008,44.17,42,1,5.99,clear sky
241,Itarema,BR,-2.9248,-39.9167,79.52,80,39,15.95,scattered clouds
242,Changli,CN,39.7042,119.1506,61.63,47,100,7.56,overcast clouds
243,Unai,BR,-16.3575,-46.9061,76.32,57,61,3.29,broken clouds
244,Cockburn Town,TC,21.4612,-71.1419,82.26,71,13,2.28,few clouds
245,Laguna,US,38.421,-121.4238,66.04,78,1,1.99,clear sky
246,Lewiston,US,44.1003,-70.2148,48.47,76,75,21.85,broken clouds
247,Elmira,US,42.0898,-76.8077,45.91,91,1,5.75,clear sky
248,Kentau,KZ,43.5206,68.5094,51.28,45,100,2.86,overcast clouds
249,Sola,VU,-13.8833,167.55,86.67,74,75,4.61,broken clouds
250,Amlimay,PH,16.6938,120.837,71.06,62,54,1.25,broken clouds
251,Mitsamiouli,KM,-11.3847,43.2844,73.69,88,20,5.75,few clouds
252,Espinosa,BR,-14.9261,-42.8192,70.0,82,2,9.1,clear sky
