City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
381,Ampanihy,MG,66.42,overcast clouds,-24.7,44.75,Angora Hotel
385,Izumo,JP,67.89,broken clouds,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
390,Nanchang,CN,73.85,broken clouds,28.6833,115.8833,Gloria Plaza Hotel Nanchang
391,Birao,CF,73.89,broken clouds,10.2849,22.7882,
396,Naze,JP,74.32,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
397,Khash,IR,64.04,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
399,Rabo De Peixe,PT,67.51,few clouds,37.8,-25.5833,Quinta das Giestas
402,Santiago De Cuba,CU,74.86,few clouds,20.0247,-75.8219,Cubanacan San Felix
403,Wau,SS,72.91,overcast clouds,7.7029,27.9953,Universal Gab Hotel
410,Palm Valley,US,71.62,scattered clouds,30.1775,-81.3876,Sawgrass Marriott Golf Resort & Spa
411,Kibakwe,TZ,63.95,few clouds,-6.7167,36.3667,
412,Monterey,US,60.84,clear sky,36.2505,-121.2516,
416,Osorio,BR,66.16,clear sky,-29.8867,-50.2697,Hotel Litoral
417,Tukrah,LY,67.98,clear sky,32.5341,20.5791,Lagrota restaurant
418,Tomatlan,MX,74.46,overcast clouds,19.9333,-105.25,El Salvial
426,Vao,NC,72.45,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
432,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
436,Arica,CL,61.03,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
453,Hanzhong,CN,60.57,overcast clouds,33.0728,107.0303,Guorui Hotel
456,Adre,TD,72.05,broken clouds,13.4667,22.2,
460,Omboue,GA,74.07,overcast clouds,-1.5746,9.2618,Hotel Olako
464,North Bend,US,60.93,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
477,Soyo,AO,74.98,overcast clouds,-6.1349,12.3689,Hotel Mpampa
483,Ambovombe,MG,67.03,overcast clouds,-25.1667,46.0833,RELAHARA
484,Porto Walter,BR,74.17,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
488,Masallatah,LY,67.55,broken clouds,32.6167,14.0,Mustafa Taher Sowaidan
492,Mogwase,ZA,65.05,overcast clouds,-25.185,27.2665,De Skaap Accommodation & Event Venue
495,Nemuro,JP,64.83,clear sky,43.3236,145.575,Hotel Nemuro Kaiyoutei
499,Baghdad,IQ,67.91,few clouds,33.3406,44.4009,Baghdad Hotel
507,Hasaki,JP,73.29,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
511,Dong Hoi,VN,72.61,heavy intensity rain,17.4833,106.6,Nam Long Hotel
513,Murindo,CO,74.16,overcast clouds,6.9848,-76.7544,
516,Sa Kaeo,TH,73.87,light rain,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
518,Dawson,US,65.89,broken clouds,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
523,Caravelas,BR,72.97,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
524,Camacha,PT,63.36,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
525,Benguela,AO,72.54,light rain,-12.5763,13.4055,Hotel Praia Morena
529,Talara,PE,65.17,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
554,Bairnsdale,AU,74.05,overcast clouds,-37.8333,147.6167,Town Central Motel
557,Aguimes,ES,65.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
560,Imbituba,BR,71.49,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
563,Paro,BT,61.92,clear sky,27.4305,89.4133,Metta Resort and Spa
564,Mpigi,UG,68.81,light rain,0.225,32.3136,SINA Village
565,Lilongwe,MW,67.5,broken clouds,-13.9669,33.7873,Spendwise furnished apartments.
568,Chilca,PE,64.62,few clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
569,Richards Bay,ZA,66.42,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
572,Curillo,CO,70.7,overcast clouds,1.0333,-75.9191,CASA CLUB
579,Menongue,AO,62.47,light rain,-14.6585,17.691,Ritz Lauca
580,Abu Samrah,SY,62.69,overcast clouds,35.3029,37.1841,
582,Shingu,JP,70.79,clear sky,33.7333,135.9833,Shingu UI Hotel
589,Tongren,CN,60.51,overcast clouds,27.7172,109.1853,Fanjing Mountain International Conference Center
591,Erzin,TR,63.12,moderate rain,36.9559,36.2,Artemis Otel
593,Dunedin,NZ,61.81,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
595,Khuzdar,PK,66.78,clear sky,27.7384,66.6434,jhalwan Rent A Car Moola Chotok Boking Office
599,Madimba,TZ,74.52,scattered clouds,-10.4,40.3333,
600,Rome,US,62.29,clear sky,34.257,-85.1647,La Quinta Inn & Suites by Wyndham Rome
601,Le Moule,GP,73.44,overcast clouds,16.3332,-61.3473,Lakaz Hananou
606,Moroni,KM,73.4,light rain,-11.7022,43.2551,Hotel les Arcades
609,Bhainsdehi,IN,71.89,clear sky,21.6467,77.6325,Prince Rathore HOME
611,Buseresere,TZ,66.63,broken clouds,-3.0236,31.8747,Flamingo Hotels
614,Mangaratiba,BR,70.66,light rain,-22.9597,-44.0406,Portobello Resort & Safari
615,Abakaliki,NG,73.17,scattered clouds,6.3163,8.1169,Grande Vitesse Apartments and Hotels
620,Ndele,CF,72.57,overcast clouds,8.4109,20.6473,
623,Chhatarpur,IN,68.79,clear sky,24.9,79.6,Hotel La Capitol
630,Namibe,AO,68.61,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
634,Riosucio,CO,64.83,overcast clouds,5.4216,-75.7032,Finca Cafe La Ermita
636,Ortigueira,BR,62.26,overcast clouds,-24.2083,-50.9494,Village das Araucárias
638,Nouadhibou,MR,67.98,few clouds,20.931,-17.0347,El Medina
